"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1591","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 07:59:34 UTC 2025","passed","Fri Aug 15 07:59:35 UTC 2025","TestChosen","test_chosen_category","",""
"","2982","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 08:00:50 UTC 2025","passed","Fri Aug 15 08:00:53 UTC 2025","TestChosen","test_chosen_category","",""
"","4119","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 07:59:53 UTC 2025","passed","Fri Aug 15 07:59:57 UTC 2025","TestChosen","test_chosen_category","",""
"","4065","Checking category on static pages","tests.test_category","Fri Aug 15 07:59:17 UTC 2025","passed","Fri Aug 15 07:59:21 UTC 2025","","test_category","",""
"","2043","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:58:59 UTC 2025","passed","Fri Aug 15 07:59:02 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","1780","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 07:59:29 UTC 2025","passed","Fri Aug 15 07:59:30 UTC 2025","TestChosen","test_chosen_category","",""
"","2889","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 08:02:52 UTC 2025","passed","Fri Aug 15 08:02:55 UTC 2025","TestChosen","test_chosen_category","",""
"","2730","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:04:45 UTC 2025","passed","Fri Aug 15 08:04:47 UTC 2025","TestScrollUp","test_scroll_up","",""
"","3939","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:06:06 UTC 2025","passed","Fri Aug 15 08:06:10 UTC 2025","TestScrollUp","test_scroll_up","",""
"","11936","Checking lower panel on signup page","tests.test_lower_panel","Fri Aug 15 08:02:15 UTC 2025","passed","Fri Aug 15 08:02:27 UTC 2025","TestLowerPanel > TestLowerPanelRegression","test_lower_panel","",""
"","4760","Checking login function","tests.test_authentication","Fri Aug 15 07:58:38 UTC 2025","passed","Fri Aug 15 07:58:43 UTC 2025","TestAuthentication","test_authentication","",""
"","2573","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 07:59:25 UTC 2025","passed","Fri Aug 15 07:59:28 UTC 2025","TestChosen","test_chosen_category","",""
